Data da Homologação;Número de Homologação;Nome do Solicitante;CNPJ do Solicitante;Certificado de Conformidade Técnica;Data do Certificado de Conformidade Técnica;Data de Validade do Certificado;Código de Situação do Certificado;Situação do Certificado;Código de Situação do Requerimento;Situação do Requerimento;Nome do Fabricante;Modelo;Nome Comercial;Categoria do Produto;Tipo do Produto;IC_ANTENA;IC_ATIVO;País do Fabricante;CodUIT;CodISO
2025-03-10;13492502032.0;RENTAL SAAS SERVIÇOS E SOLUÇÕES EM INFORMÁTICA LTDA;31766438000109;MODERNA-4868/24;08/03/2025;08/03/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Guangzhou Changjia Electronic Co., Ltd;TMK8514;Tecmakers;2;Tela interativa para uso educacional;N;S;China;CHN;CHN
2025-03-10;13492502032.0;RENTAL SAAS SERVIÇOS E SOLUÇÕES EM INFORMÁTICA LTDA;31766438000109;MODERNA-4868/24;08/03/2025;08/03/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Guangzhou Changjia Electronic Co., Ltd;TMK8614;Tecmakers;2;Tela interativa para uso educacional;N;S;China;CHN;CHN
2025-03-10;13492502032.0;RENTAL SAAS SERVIÇOS E SOLUÇÕES EM INFORMÁTICA LTDA;31766438000109;MODERNA-4868/24;08/03/2025;08/03/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Guangzhou Changjia Electronic Co., Ltd;TMK9814;Tecmakers;2;Tela interativa para uso educacional;N;S;China;CHN;CHN
2025-03-05;7012517519.0;Skylane Optics do Brasil Serviços de Pesquisa Ltda;15384965000100;NCC 27246/25;20/02/2025;20/02/2028 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Outdoor Wireless Networks LLC;VHLP200-23;;3;Antena Ponto a Ponto;S;S;Estados Unidos da América;USA;USA
2025-03-05;7202517519.0;Skylane Optics do Brasil Serviços de Pesquisa Ltda;15384965000100;NCC 27223/25;18/02/2025;18/02/2028 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Outdoor Wireless Networks LLC;VHLPX1-18;;3;Antena Ponto a Ponto;S;S;Estados Unidos da América;USA;USA
2025-03-08;13502504575.0;UNIFY - SOLUCOES EM TECNOLOGIA DA INFORMACAO LTDA;67071001000106;NCC 27179/25;20/02/2025;20/02/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Unify Software and Solutions GmbH & Co. KG;OpenScape Desk Phone CP710;;2;Transceptor de Radiação Restrita;N;S;Alemanha;D;DEU
2025-03-08;13502504575.0;UNIFY - SOLUCOES EM TECNOLOGIA DA INFORMACAO LTDA;67071001000106;NCC 27179/25;20/02/2025;20/02/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Unify Software and Solutions GmbH & Co. KG;OpenScape Desk Phone CP710;;1;Telefone IP (com fio);N;S;Alemanha;D;DEU
2025-03-07;10822315069.0;KAIDI COMERCIO DE EQUIPAMENTOS LTDA.;35168078000102;MODERNA-0835/22;14/01/2023;14/01/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Dongguan Genai Technology Co., Ltd;KD-788;CS-788W;2;Transceptor de Radiação Restrita;N;S;China;CHN;CHN
2025-03-05;7232517519.0;Skylane Optics do Brasil Serviços de Pesquisa Ltda;15384965000100;NCC 27232/25;19/02/2025;19/02/2028 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Outdoor Wireless Networks LLC;VHLPX1-80;VHLPX1-80-XXXX;3;Antena Ponto a Ponto;S;S;Estados Unidos da América;USA;USA
2025-03-05;7262517519.0;Skylane Optics do Brasil Serviços de Pesquisa Ltda;15384965000100;NCC 27230/25;18/02/2025;18/02/2028 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Outdoor Wireless Networks LLC;SHPX2-13;;3;Antena Ponto a Ponto;S;S;Estados Unidos da América;USA;USA
2025-03-07;28312103177.0;TP-LINK SISTEMAS DO BRASIL LTDA;12667763000170;BRC-24.5200.07;26/02/2025;27/02/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;TP-LINK Technologies Co., Ltd.;EAP235-Wall;;2;Transceptor de Radiação Restrita;N;S;China;CHN;CHN
2025-03-07;2932511512.0;Galaxy Participacoes, Importacao e Exportacao Ltda;7911318000173;MODERNA-5384/25;07/03/2025;07/03/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Shenzhen Yale Eletronics Co., Ltd;KA32;8277;2;Transceptor de Radiação Restrita;N;S;China;CHN;CHN
2025-03-07;2932511512.0;Galaxy Participacoes, Importacao e Exportacao Ltda;7911318000173;MODERNA-5384/25;07/03/2025;07/03/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Shenzhen Yale Eletronics Co., Ltd;KA1;8270;2;Transceptor de Radiação Restrita;N;S;China;CHN;CHN
2025-03-07;13162516275.0;Leonardo Wollinger Koerich Contabilidade e Assessoria Fiscal;29584332000142;MODERNA-5668/25;07/03/2025;07/03/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Shenzhen Beibo Intelligent Technology Co., Ltd;SmartPen - Penboard X1;;2;Transceptor de Radiação Restrita;N;S;China;CHN;CHN
2025-03-07;13162516275.0;Leonardo Wollinger Koerich Contabilidade e Assessoria Fiscal;29584332000142;MODERNA-5668/25;07/03/2025;07/03/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Shenzhen Beibo Intelligent Technology Co., Ltd;SmartPen - Penboard XI;;2;Transceptor de Radiação Restrita;N;S;China;CHN;CHN
2025-03-08;13482517624.0;Igi Comercio de Equipamentos Eletronicos Ltda;10394359000144;NCC 27247/25;20/02/2025;20/02/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Verity Medical Ltd;MyoPlus Pro;;2;Transceptor de Radiação Restrita;N;S;Irlanda;IRL;IRL
2025-03-07;7322107318.0;ENDRESS+HAUSER (BRASIL) INSTRUMENTACAO E AUTOMACAO LTDA;14883099000121;TÜV 24.1241;28/01/2021;28/01/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Endress+Hauser GmbH & Co. KG;VU113;;2;Transceptor de Radiação Restrita;N;S;Alemanha;D;DEU
2025-03-06;6522503257.0;HUAWEI DO BRASIL TELECOMUNICACOES LTDA;2975504000152;NCC 27208/25;14/02/2025;14/02/2028 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Huawei Technologies Co. Ltd;AAU5768 – WD7MRTUEL004;;3;Transceptor para Estação Rádio Base;N;S;China;CHN;CHN
2025-03-05;7292517519.0;Skylane Optics do Brasil Serviços de Pesquisa Ltda;15384965000100;NCC 27243/25;20/02/2025;20/02/2028 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Outdoor Wireless Networks LLC;SHPX1-23;SHPX1-23-XXXX;3;Antena Ponto a Ponto;S;S;Estados Unidos da América;USA;USA
2025-03-05;5332512660.0;DC Importação e Exportação de Eletrônicos Ltda;12053056000193;NCC 27106/25;27/01/2025;27/01/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Shenzhen Bestunion Electronic Technology Co.,Ltd;PB2040;PB2040;1;Acessório p/ Telefone Móvel Celular do tipo Bateria Auxiliar;N;S;China;CHN;CHN
2025-03-05;5332512660.0;DC Importação e Exportação de Eletrônicos Ltda;12053056000193;NCC 27106/25;27/01/2025;27/01/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Shenzhen Bestunion Electronic Technology Co.,Ltd;PB2040;PB2050;1;Acessório p/ Telefone Móvel Celular do tipo Bateria Auxiliar;N;S;China;CHN;CHN
2025-03-05;5332512660.0;DC Importação e Exportação de Eletrônicos Ltda;12053056000193;NCC 27106/25;27/01/2025;27/01/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Shenzhen Bestunion Electronic Technology Co.,Ltd;PB2040;PB2060;1;Acessório p/ Telefone Móvel Celular do tipo Bateria Auxiliar;N;S;China;CHN;CHN
2025-03-07;9012517459.0;DELIVERY TEC COMERCIO & CONSULTORIA LTDA;41334915000110;ICC 10.082/2024;20/02/2025;20/02/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Wuyuan County Anjia e-commerce Co., Ltd;J16-Ultra;;1;Estação Terminal de Acesso;N;S;China;CHN;CHN
2025-03-10;10302501499.0;E3TECH ENGENHARIA E REPRESENTACOES LTDA;25081009000103;TÜV 25.0161;06/03/2025;06/03/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Primax Electronics Ltd.;H410;;2;Transceptor de Radiação Restrita;N;S;Taiwan;TWN;TWN
2025-03-10;9832517580.0;RELAXMEDIC IMPORTACAO EXPORTACAO LTDA.;5638557000176;UL-BR 25.0168;24/02/2025;23/02/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Shanghai Panchip Microelectronics Co., Ltd.;XN297L;;2;Transceptor de Radiação Restrita;N;S;China;CHN;CHN
2025-03-10;9162507987.0;DIGNITUS IMPORTACAO E COMERCIO LTDA;18460086000109;QC-0811-23.02;03/02/2025;03/02/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Miha Bodytec GmbH.;miha bodytec II medical;;2;Transceptor de Radiação Restrita;N;S;Alemanha;D;DEU
2025-03-07;9972517581.0;Roadstar Brasil Comércio de Eletronicos Ltda;702557000174;CCPE20240071;06/03/2025;06/03/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Huizhou BoXin Liye Technology Co., Ltd;RS-1020 BR;;1;Estação Terminal de Acesso;N;S;China;CHN;CHN
