Data da Homologação;Número de Homologação;Nome do Solicitante;CNPJ do Solicitante;Certificado de Conformidade Técnica;Data do Certificado de Conformidade Técnica;Data de Validade do Certificado;Código de Situação do Certificado;Situação do Certificado;Código de Situação do Requerimento;Situação do Requerimento;Nome do Fabricante;Modelo;Nome Comercial;Categoria do Produto;Tipo do Produto;IC_ANTENA;IC_ATIVO;País do Fabricante;CodUIT;CodISO
2025-01-09;33621904902.0;E3TECH ENGENHARIA E REPRESENTACOES LTDA;25081009000103;CPQD 6820;26/04/2019;26/04/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Hyundai Mobis Co., Ltd;M4F76-AC000;;1;Carregador Indutivo para Telefone Celular;N;S;Coréia;KOR;KOR
2025-01-24;35881809807.0;HEWLETT-PACKARD BRASIL LTDA;61797924000317;NCC 15815/18;08/06/2018;24/05/2028 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Hewlett Packard Enterprise Company;BJNGA-AD0078;;3;Equipamento de Rede de Dados;N;S;Estados Unidos da América;USA;USA
2025-01-23;41721905077.0;ITC - INTELIGENT TELECOM CERTIFICATION LTDA;23786165000136;UL-BR 19.0728;11/06/2019;10/06/2025 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;KATHREIN Sachsen GmbH;RRU4500;;2;Sistemas de Identificação por Radiofrequências;N;S;Alemanha;D;DEU
2025-01-23;41721905077.0;ITC - INTELIGENT TELECOM CERTIFICATION LTDA;23786165000136;UL-BR 19.0728;11/06/2019;10/06/2025 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;KATHREIN Sachsen GmbH;ARU3500;;2;Sistemas de Identificação por Radiofrequências;N;S;Alemanha;D;DEU
2025-01-09;12751903229.0;Logitech do Brasil Com de Acessórios de Info Ltda.;8573862000115;CPQD 6715;21/02/2019;21/02/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Logitech Europe S.A;CU0019;;2;Transceptor de Radiação Restrita;N;S;Suíça;SUI;CHE
2025-01-29;12731903229.0;Logitech do Brasil Com de Acessórios de Info Ltda.;8573862000115;CPQD 6718;21/02/2019;21/02/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Logitech Europe S.A;MR0080;G703 HERO;2;Transceptor de Radiação Restrita;N;S;Suíça;SUI;CHE
2025-01-27;47691805099.0;WS AUDIOLOGY SOLUCOES AUDITIVAS LTDA;14011614000183;UL-BR 19.0148;04/02/2019;03/02/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Sivantos GmbH;Mosaic M 20 E1;;2;Equipamento de Radiocomunicação de Radiação Restrita;N;S;Alemanha;D;DEU
2025-01-27;47691805099.0;WS AUDIOLOGY SOLUCOES AUDITIVAS LTDA;14011614000183;UL-BR 19.0148;04/02/2019;03/02/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Sivantos GmbH;Mosaic P 30 E1;;2;Equipamento de Radiocomunicação de Radiação Restrita;N;S;Alemanha;D;DEU
2025-01-27;47691805099.0;WS AUDIOLOGY SOLUCOES AUDITIVAS LTDA;14011614000183;UL-BR 19.0148;04/02/2019;03/02/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Sivantos GmbH;Mosaic P 20 E1;;2;Equipamento de Radiocomunicação de Radiação Restrita;N;S;Alemanha;D;DEU
2025-01-27;47691805099.0;WS AUDIOLOGY SOLUCOES AUDITIVAS LTDA;14011614000183;UL-BR 19.0148;04/02/2019;03/02/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Sivantos GmbH;Emerald S 30 E1;;2;Equipamento de Radiocomunicação de Radiação Restrita;N;S;Alemanha;D;DEU
2025-01-20;11691901925.0;DKAF DO BRASIL REPRESENTACOES LTDA - EPP;27095886000150;Versys 2275;08/02/2019;08/02/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;LG Electronics Inc.;ID7FB;;2;Transceptor de Radiação Restrita;N;S;Coréia;KOR;KOR
2025-01-27;47691805099.0;WS AUDIOLOGY SOLUCOES AUDITIVAS LTDA;14011614000183;UL-BR 19.0148;04/02/2019;03/02/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Sivantos GmbH;Emerald S 20 E1;;2;Equipamento de Radiocomunicação de Radiação Restrita;N;S;Alemanha;D;DEU
2025-01-27;47691805099.0;WS AUDIOLOGY SOLUCOES AUDITIVAS LTDA;14011614000183;UL-BR 19.0148;04/02/2019;03/02/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Sivantos GmbH;Mosaic HP 30 E1;;2;Equipamento de Radiocomunicação de Radiação Restrita;N;S;Alemanha;D;DEU
